"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,6945866,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,1544723,13.7
"2",2,8151617,"B","Succession Class B",56,168,0,0.219608,0.658824,0,1812876,16
"3",3,15915650,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,3539555,31.3
"4",4,7931286,"D","Succession Class D",255,248,166,1,0.972549,0.65098,1763876,15.6
"5",5,3065780,"E","Succession Class E",0,74,77,0,0.290196,0.301961,681813,6
"6",6,2423711,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,539020,4.8
"7",7,1340212,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,298056,2.6
"8",111,322144,"Water","Water",0,0,255,0,0,1,71643,0.6
"9",112,412,"Snow/Ice","Snow/Ice",159,161,240,0.623529,0.631373,0.941176,92,0
"10",120,1427772,"Developed","Developed",132,0,138,0.517647,0,0.541176,317529,2.8
"11",132,2127864,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,473226,4.2
"12",180,1179937,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,262412,2.3
